trade_code;trade_name;isin;id_market
ABRD;"Публичное акционерное общество ""Абрау – Дюрсо""";RU000A0JS5T7;1
ACKO;"Публичное акционерное общество ""АСКО""";RU000A0JXS91;1
AFKS;"Публичное акционерное общество ""Акционерная финансовая корпорация ""Система""";RU000A0DQZE3;1
AFLT;"Публичное акционерное общество ""Аэрофлот – российские авиалинии""";RU0009062285;1
AKRN;"Публичное акционерное общество ""Акрон""";RU0009028674;1
ALRS;"Акционерная компания ""АЛРОСА"" (публичное акционерное общество)";RU0007252813;1
AMEZ;"Публичное акционерное общество ""Ашинский металлургический завод""";RU000A0B88G6;1
APTK;"Публичное акционерное общество ""Аптечная сеть 36,6""";RU0008081765;1
AQUA;"Публичное  акционерное общество ""Русская Аквакультура""";RU000A0JQTS3;1
ARSA;"публичное акционерное общество ""Управляющая компания ""Арсагера""";RU000A0JP0Q7;1
ASSB;"Публичное акционерное общество ""Астраханская энергосбытовая компания""";RU000A0D8MM8;1
AVAN;"Акционерный Коммерческий банк ""АВАНГАРД"" - публичное акционерное общество";RU000A0DM7B3;1
BANE;"Публичное акционерное общество ""Акционерная нефтяная Компания ""Башнефть""";RU0007976957;1
BELU;"Публичное акционерное общество ""Белуга Групп""";RU000A0HL5M1;1
BISV;"Публичное акционерное общество ""Башинформсвязь""";RU0009059216;1
BLNG;"Открытое акционерное общество ""Белон""";RU000A0J2QG8;1
BRZL;"Публичное акционерное общество ""Бурятзолото""";RU0009288658;1
BSPB;"ПУБЛИЧНОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ""БАНК ""САНКТ-ПЕТЕРБУРГ""";RU0009100945;1
CBOM;"""МОСКОВСКИЙ КРЕДИТНЫЙ БАНК"" (публичное акционерное общество)";RU000A0JUG31;1
CHGZ;"Публичное акционерное общество ""РН-Западная Сибирь""";RU0009082291;1
CHKZ;"Публичное акционерное общество ""Челябинский кузнечно-прессовый завод""";RU000A0JNST0;1
CHMF;"Публичное акционерное общество ""Северсталь""";RU0009046510;1
CHMK;"Публичное акционерное общество ""Челябинский металлургический комбинат""";RU0007665170;1
CNTL;"Публичное акционерное общество ""Центральный телеграф""";RU0007665147;1
DASB;"Публичное акционерное общество ""Дагестанская энергосбытовая компания""";RU000A0F63G0;1
DIOD;"Публичное акционерное общество Завод экологической техники и экопитания ""ДИОД""";RU000A0JQWC1;1
DSKY;"Публичное акционерное общество ""Детский мир""";RU000A0JSQ90;1
DVEC;"Публичное акционерное общество ""Дальневосточная энергетическая компания""";RU000A0JP2W1;1
